user:Project,ProjectGroup,CostDivision
Shanghai Edu ZTJY,专题教育,中小学事业部
Xinkebiao,专题教育,中小学事业部
XKB Rent,专题教育,中小学事业部
EduSoft ZXXSYB,专题教育,中小学事业部
Shanghai Edu JYXH,教育学会网站,中小学事业部
EduSoft DJGWebsite,教育学会网站,中小学事业部
cn-sh-edu-tysfrz,统一身份认证,中小学事业部
EduSoft CasTest,统一身份认证,中小学事业部
EduSoft IDS,统一身份认证,中小学事业部
Shanghai Edu TYSFRZ,统一身份认证,中小学事业部
 Shanghai Edu TYSFRZ,统一身份认证,中小学事业部
统一身份认证服务平台,统一身份认证,中小学事业部
Hongkou Edu RCTD,虹口人才梯队,中小学事业部
SOU SZZX,开大师资中心,开大事业部
Shanghai Edu KaiDa,开大招生,开大事业部
SOU Zhaosheng,开大招生,开大事业部
AWS Operation Env,AWS研发,研发中心
Bill,AWS研发,研发中心
CloudFormer,AWS研发,研发中心
EduSoft AWS,AWS研发,研发中心
公共费用,AWS研发,研发中心
EduSoft LEGO,LEGO网络平台,研发中心
Lego-Project,LEGO网络平台,研发中心
Shanghai Edu Lego,LEGO网络平台,研发中心
Shanghai Edu ZHXY,智慧校园,研发中心
EduSoft Redmine,研发管理,研发中心
shedusoft-finrastructure,研发管理,研发中心
Hongkou Edu DataCenter,虹口数据中心,研发中心
Hongkou Edu IDP,虹口数据中心,研发中心
Hongkou Edu IDS,虹口数据中心,研发中心
EduSoft NLTS GongCheng,师训中心学习平台,综合事业部
21shte XFYH,教师教育管理平台,综合事业部
com-sh-new-xfyh-project,教师教育管理平台,综合事业部
Shixun IDS,教师教育管理平台,综合事业部
Shixun yxyt,网络研修,综合事业部
21shte WLYX,网络研修,综合事业部
Zhongzhi IDS,中职统一身份认证,职教事业部
EduSoft SETCWEB,教育学会网站,中小学事业部
AWS DevOps,AWS研发,研发中心
EduSoft RD,研发管理,研发中心
21shte GLPT,教师教育管理平台,综合事业部
21shte XXPT,师训中心学习平台,综合事业部
21shte XYZPX,校园长培训平台,综合事业部
Hongkou Edu iSteamLab,虹口数据中心,研发中心
KYZX GLPT,科艺中心师训管理,综合事业部
21shte Tronclass WLYX,网络研修,综合事业部
21shte tronclass,网络研修,综合事业部
21shte GLPT tronclass,网络研修,综合事业部
AWS CloudDisk,统一身份认证,中小学事业部
AWS CouldDisk,统一身份认证,中小学事业部
21shteFWXZ,访问学者项目,综合事业部
Edusoft StuDataConverge,综评数据汇聚,中小学事业部
Edusoft-StuDataConverge,综评数据汇聚,中小学事业部
Edusoft ZXXSYB Network Service,教研室运维服务,中小学事业部
21shte-Jingan XXPT,静安学习平台,综合事业部
EduSoft StuDataConverge,综评数据汇聚,中小学事业部
EduSoft ZXXSYB Network Service,教研室运维服务,中小学事业部